match_id,date,home_team,away_team,league,country,venue,kickoff_time,status,competition_stage
12436566,2025-05-10,Fulham,Everton,Premier League,England,,15:45,Ended,36
12436564,2025-05-10,Ipswich Town,Brentford,Premier League,England,,17:00,Ended,36
12436575,2025-05-10,Southampton,Man City,Premier League,England,,15:00,Ended,36
12436581,2025-05-10,Wolverhampton,Brighton & Hove Albion,Premier League,England,,17:30,Ended,36
12436570,2025-05-10,Bournemouth,Aston Villa,Premier League,England,,19:15,Halftime,36
12436573,2025-05-10,Newcastle,Chelsea,Premier League,England,,12:00,Not started,36
12501518,2025-05-10,AC Milan,Bologna,Serie A,Italy,,21:00,Ended,36
12501510,2025-05-10,Como,Cagliari,Serie A,Italy,,16:00,Ended,36
12501530,2025-05-10,Lazio,Juventus,Serie A,Italy,,16:30,2nd half,36
12501515,2025-05-10,Empoli,Parma,Serie A,Italy,,19:00,Not started,36
12501533,2025-05-10,Udinese,Monza,Serie A,Italy,,15:00,Not started,36
12437555,2025-05-10,Las Palmas,Rayo Vallecano,LaLiga,Spain,,21:15,Ended,35
12437494,2025-05-10,Valencia,Getafe,LaLiga,Spain,,12:30,Ended,35
12437548,2025-05-10,Celta Vigo,Sevilla,LaLiga,Spain,,15:15,Ended,35
12437551,2025-05-10,Girona,Villarreal,LaLiga,Spain,,16:00,Halftime,35
12437554,2025-05-10,Mallorca,Real Valladolid,LaLiga,Spain,,18:45,Halftime,35
12437544,2025-05-10,Atletico Madrid,Real Sociedad,LaLiga,Spain,,18:30,Not started,35
12499534,2025-05-10,VfL Wolfsburg,TSG Hoffenheim,Bundesliga,Germany,,18:15,Ended,33
12499535,2025-05-10,1. FC Union Berlin,1. FC Heidenheim,Bundesliga,Germany,,14:45,Ended,33
12499538,2025-05-10,Holstein Kiel,SC Freiburg,Bundesliga,Germany,,13:00,Ended,33
12499532,2025-05-10,SV Werder Bremen,Leipzig,Bundesliga,Germany,,17:30,Ended,33
12499536,2025-05-10,VfL Bochum 1848,1. FSV Mainz 05,Bundesliga,Germany,,16:15,Ended,33
12499528,2025-05-10,FC Bayern München,Borussia M'gladbach,Bundesliga,Germany,,16:30,Halftime,33
12450182,2025-05-10,AS Monaco,Olympique Lyonnais,Ligue 1,France,,18:45,Not started,33
12450186,2025-05-10,Angers,RC Strasbourg,Ligue 1,France,,22:30,Not started,33
12450178,2025-05-10,Auxerre,Nantes,Ligue 1,France,,22:15,Not started,33
12450199,2025-05-10,Le Havre,Olympique de Marseille,Ligue 1,France,,20:30,Not started,33
12450276,2025-05-10,Montpellier,PSG,Ligue 1,France,,19:30,Not started,33
12450184,2025-05-10,Stade Brestois,Lille,Ligue 1,France,,23:00,Not started,33
12450269,2025-05-10,Stade Rennais,Nice,Ligue 1,France,,22:15,Not started,33
12450172,2025-05-10,Stade de Reims,Saint-Étienne,Ligue 1,France,,20:45,Not started,33
12450191,2025-05-10,Toulouse,RC Lens,Ligue 1,France,,20:00,Not started,33
13851585,2025-05-10,Coventry City,Sunderland,"Championship, Playoffs",England,,22:00,Ended,28
12465961,2025-05-10,Cádiz,Almería,LaLiga 2,Spain,,21:30,Ended,39
12465963,2025-05-10,Mirandés,CD Castellón,LaLiga 2,Spain,,14:15,Ended,39
12465959,2025-05-10,Sporting Gijón,Deportivo La Coruña,LaLiga 2,Spain,,17:00,Ended,39
12465962,2025-05-10,Burgos Club de Fútbol,Córdoba,LaLiga 2,Spain,,18:15,Halftime,39
12465969,2025-05-10,Elche,Levante UD,LaLiga 2,Spain,,18:45,Halftime,39
12465967,2025-05-10,Real Zaragoza,FC Cartagena,LaLiga 2,Spain,,20:15,Not started,39
12499173,2025-05-10,1. FC Nürnberg,1. FC Köln,2. Bundesliga,Germany,,17:45,Ended,33
12499151,2025-05-10,Preußen Münster,Hertha BSC,2. Bundesliga,Germany,,18:15,Ended,33
12499160,2025-05-10,Fortuna Düsseldorf,FC Schalke 04,2. Bundesliga,Germany,,14:30,Ended,33
12499250,2025-05-10,SC Paderborn 07,1. FC Magdeburg,2. Bundesliga,Germany,,12:30,Ended,33
12499175,2025-05-10,SV 07 Elversberg,Eintracht Braunschweig,2. Bundesliga,Germany,,13:15,Ended,33
12499153,2025-05-10,Hamburger SV,SSV Ulm 1846,2. Bundesliga,Germany,,19:45,Not started,33
12499166,2025-05-10,1. FC Kaiserslautern,Darmstadt 98,2. Bundesliga,Germany,,11:30,Not started,33
12499164,2025-05-10,Hannover 96,SpVgg Greuther Fürth,2. Bundesliga,Germany,,13:45,Not started,33
12499174,2025-05-10,SSV Jahn Regensburg,Karlsruher SC,2. Bundesliga,Germany,,16:00,Not started,33
12527856,2025-05-10,Cittadella,Bari,Serie B,Italy,,22:45,Ended,38
12527857,2025-05-10,Cosenza,Cesena,Serie B,Italy,,21:30,Ended,38
12527858,2025-05-10,Juve Stabia,Reggiana,Serie B,Italy,,19:00,Ended,38
12527859,2025-05-10,Mantova,Carrarese,Serie B,Italy,,22:45,Ended,38
12527860,2025-05-10,Modena,Brescia,Serie B,Italy,,19:30,Ended,38
12527861,2025-05-10,Palermo,Frosinone,Serie B,Italy,,19:00,Ended,38
12527862,2025-05-10,Pisa,Südtirol,Serie B,Italy,,18:00,Ended,38
12527863,2025-05-10,Sampdoria,Salernitana,Serie B,Italy,,22:45,Ended,38
12527864,2025-05-10,Sassuolo,Catanzaro,Serie B,Italy,,23:00,Ended,38
12527865,2025-05-10,Spezia,Cremonese,Serie B,Italy,,18:30,Ended,38
12450710,2025-05-10,Annecy,Grenoble Foot 38,Ligue 2,France,,19:15,Ended,34
12450702,2025-05-10,Bastia,Caen,Ligue 2,France,,18:45,Ended,34
12450707,2025-05-10,Lorient,FC Martigues,Ligue 2,France,,19:15,Ended,34
12450708,2025-05-10,Paris,Ajaccio,Ligue 2,France,,14:30,Ended,34
12450706,2025-05-10,Pau,Guingamp,Ligue 2,France,,14:45,Ended,34
12450711,2025-05-10,Red Star,USL Dunkerque,Ligue 2,France,,15:15,Ended,34
12450709,2025-05-10,Rodez AF,Clermont Foot,Ligue 2,France,,14:45,Ended,34
12450703,2025-05-10,Stade Lavallois,Metz,Ligue 2,France,,15:00,Ended,34
12615579,2025-05-10,Troyes,Amiens SC,Ligue 2,France,,19:00,Ended,34
13629496,2025-05-10,SK Sturm Graz,Red Bull Salzburg,"Austrian Bundesliga, Championship Round",Austria,,18:30,Ended,30
13629486,2025-05-10,Austria Klagenfurt,WSG Tirol,"Austrian Bundesliga, Relegation Round",Austria,,16:00,Ended,30
13629502,2025-05-10,LASK,TSV Hartberg,"Austrian Bundesliga, Relegation Round",Austria,,14:30,Ended,30
13629497,2025-05-10,SC Rheindorf Altach,Grazer AK 1902,"Austrian Bundesliga, Relegation Round",Austria,,18:15,Ended,30
13851568,2025-05-10,Leyton Orient,Stockport County,"League One, Playoffs",England,,13:45,Ended,28
13851573,2025-05-10,Notts County,AFC Wimbledon,"League Two, Playoffs",England,,19:00,Not started,28
13378653,2025-05-10,Orense SC,Deportivo Cuenca,"LigaPro Serie A, Primera Etapa",Ecuador,,04:30,Ended,12
13378651,2025-05-10,Manta,Mushuc Runa,"LigaPro Serie A, Primera Etapa",Ecuador,,19:45,Not started,12
13378647,2025-05-10,Macará,LDU,"LigaPro Serie A, Primera Etapa",Ecuador,,01:00,Not started,12
13378652,2025-05-10,Libertad,Delfín,"LigaPro Serie A, Primera Etapa",Ecuador,,04:00,Not started,12
13573884,2025-05-10,Ceramica Cleopatra,Zamalek SC,"Egyptian Premier League, Championship Round",Egypt,,14:30,Ended,22
13573883,2025-05-10,National Bank of Egypt,Pyramids,"Egyptian Premier League, Championship Round",Egypt,,21:30,Ended,22
13575592,2025-05-10,Pharco,Petrojet,"Egyptian Premier League, Championship Round",Egypt,,18:15,Ended,22
13573910,2025-05-10,Al-Ittihad Alexandria,Ghazl El Mahalla,"Egyptian Premier League, Relegation Round",Egypt,,19:00,1st half,23
13493606,2025-05-10,Atlético Ottawa,Valour,Canadian Premier League,Canada,,19:45,Not started,6
13493593,2025-05-10,HFX Wanderers,Cavalry,Canadian Premier League,Canada,,23:30,Not started,6
13493614,2025-05-10,Pacific,York United,Canadian Premier League,Canada,,03:00,Not started,6
12448060,2025-05-10,Orenburg,FC Khimki,Premier League,Russia,,14:15,Ended,28
12448051,2025-05-10,Dinamo Makhachkala,Zenit St. Petersburg,Premier League,Russia,,14:00,Ended,28
12448102,2025-05-10,CSKA Moscow,FK Krasnodar,Premier League,Russia,,20:30,Halftime,28
12448057,2025-05-10,Akron Togliatti,Akhmat Grozny,Premier League,Russia,,11:00,Not started,28
12592814,2025-05-10,Arsenal,Man United,Women's Super League,England,,13:15,Ended,22
12592813,2025-05-10,Aston Villa,Brighton,Women's Super League,England,,16:00,Ended,22
12592812,2025-05-10,Chelsea,Liverpool,Women's Super League,England,,16:00,Ended,22
12592811,2025-05-10,Everton,Tottenham Hotspur,Women's Super League,England,,13:15,Ended,22
12592810,2025-05-10,Leicester City,West Ham,Women's Super League,England,,15:45,Ended,22
12592809,2025-05-10,Man City,Crystal Palace,Women's Super League,England,,11:00,Ended,22
13482627,2025-05-10,FC Como,Napoli,"Serie A Femminile, Relegation Round",Italy,,14:00,Not started,10
13482628,2025-05-10,Sassuolo,Sampdoria,"Serie A Femminile, Relegation Round",Italy,,11:45,Not started,10
13482625,2025-05-10,Fiorentina,AS Roma,"Serie A Femminile, Championship Round",Italy,,14:30,Ended,10
13482626,2025-05-10,Juventus,Inter Milan,"Serie A Femminile, Championship Round",Italy,,19:15,Not started,10
12716848,2025-05-10,Athletic Bilbao,Espanyol,Liga F,Spain,,12:45,Not started,29
